59,90
49,84
48,99
36,67
36,52
34,35
41,43
26,32
25,40
27,54
24,71
22,80
20,90
30,119
42,86
37,61
108,51
102,61
97,58
101,31
86,44
89,38
79,50
75,47
103,76
103,86
110,80
93,95
96,73
85,60
89,50
84,26
83,17
88,10
92,18
99,21
73,16
65,6
71,7
58,14
39,28
34,8
47,16
79,66
94,79
112,93
112,58
95,30
53,74
69,87
65,78
92,105
84,103
78,96
88,88
57,110
56,101
67,98
81,77
42,13
88,30
84,33
92,43
67,22
48,29
59,9
45,103
58,68
47,56
110,64
41,106
75,38
60,31
80,21
99,106
90,82
83,71
67,37
89,98
30,11
42,61
54,82
59,74
96,100
74,27
42,21
64,88
92,68
98,52
49,11
89,25
75,103
50,3
55,26
82,112
69,105
96,40
48,36
93,87
93,62
98,67
43,76
