47,47
79,48
56,55
28,56
24,66
32,63
44,79
33,78
45,87
50,84
72,74
81,66
80,61
62,76
59,72
50,67
14,103
3,83
7,78
17,72
13,87
22,93
30,96
52,108
52,102
37,97
25,103
48,92
100,105
103,95
111,97
63,99
78,100
83,98
81,90
94,101
85,84
89,74
95,61
90,65
89,46
102,46
71,46
73,61
62,63
50,58
56,50
42,62
39,58
44,70
65,85
18,52
10,50
10,65
41,44
46,41
42,38
53,43
39,52
34,42
84,47
67,48
37,37
42,28
76,94
92,96
99,92
101,85
105,90
97,78
99,72
21,115
8,28
62,18
89,32
60,107
63,94
2,78
45,52
83,17
73,34
67,28
62,47
78,82
24,82
109,78
105,63
100,41
28,49
67,56
54,87
72,16
66,33
61,29
23,61
23,74
32,89
38,92
70,89
18,40
22,36
23,26
19,20
17,14
22,16
46,22
41,17
44,12
30,14
30,19
26,6
34,31
28,29
85,22
14,76
15,82
98,114
90,113
76,111
64,120
41,113
77,6
17,59
16,32
43,91
94,74
17,108
36,110
16,5
93,41
72,41
53,78
74,79
85,118
86,107
51,114
3,29
7,20
51,50
55,37
47,31
38,78
33,103
28,112
46,104
45,120
20,102
29,83
89,18
33,7
62,81
11,112
61,40
49,72
83,54
74,55
55,20
28,38
66,38
65,110
69,96
70,104
2,91
4,56
81,36
53,93
56,5
51,12
84,6
79,24
75,20
93,22
95,29
89,37
41,83
81,11
72,11
63,53
