72,50
75,43
82,47
90,52
103,52
86,58
86,63
60,60
71,68
66,72
62,55
51,49
56,51
50,55
66,38
62,43
61,35
57,44
52,42
46,37
38,42
34,48
32,39
79,84
81,96
90,79
96,77
90,72
88,69
100,44
96,39
92,36
93,29
80,35
87,31
60,24
77,22
68,17
51,7
46,18
37,16
41,25
54,27
37,76
23,90
17,68
27,62
40,60
40,67
14,46
49,68
46,91
42,95
111,88
60,15
63,50
73,55
44,64
96,72
101,33
98,61
78,61
92,46
35,68
23,71
67,77
64,22
89,88
16,94
85,42
85,37
41,32
56,70
50,73
72,88
98,56
22,61
37,81
45,84
69,84
77,74
23,95
10,96
13,100
45,57
103,78
59,96
12,68
10,80
70,100
34,31
53,78
55,83
28,81
73,19
93,85
92,92
32,59
19,46
47,97
48,103
51,107
77,106
81,103
99,109
36,100
80,79
92,18
52,37
89,26
31,104
54,97
57,75
71,33
